codeCPV,count
45000000-7,7828
71000000-8,5423
45210000,3543
71300000-1,3524
45210000-2,3412
45421000-4,3326
71200000-0,3176
71240000-2,3123
71241000-9,3039
45112500-0,2831
33000000-0,2740
45232410-9,2449
45223220-4,2398
79311000-7,2381
71221000-3,2308
45233140-2,2039
09310000-5,1874
77310000-6,1577
80530000-8,1574
15800000-6,1506
60130000-8,1497
45211000,1450
45330000-9,1365
45232150-8,1350
90500000-2,1326
45421000,1292
45112700-2,1245
45331000-6,1232
45454000,1209
45233141-9,1193
45112710-5,1173
45311200-2,1168
45454000-4,1136
45000000,1073
71200000,1045
45223220,1001
45410000-4,994
33600000-6,952
75200000-8,945
45233220-7,932
45231400-9,929
45214200-2,914
45454100-5,911
66510000-8,906
71335000-5,895
45261000-4,878
45454100,868
45262522-6,865
45316110-9,860
71300000,859
66510000,852
45200000-9,848
45261420-4,825
45111100-9,822
71240000,817
80530000,803
45261100-5,793
45261210-9,767
45111291-4,758
45220000-5,720
45442100-8,711
45200000,700
45112500,699
45311000-0,690
71000000,681
45262660-5,675
77310000,660
44316500-3,660
60112000-6,659
71241000,640
45330000,626
71351810-4,611
15800000,602
72267100-0,598
64200000-8,586
90911200-8,576
71221000,573
45110000-1,569
45453000,564
71310000-4,557
45233120-6,554
45321000-3,553
34300000-0,552
90910000-9,535
45233142-6,534
15000000-8,524
33600000,513
45310000-3,512
45212200-8,511
34100000-8,509
71250000-5,509
45232410,506
48000000-8,505
60100000-9,500
45311200,483
66514110-0,479
79311000,474
30200000-1,467
45442100,467
90513000-6,457
18100000-0,448
45262700,445
45232411-6,439
45262700-8,436
39830000-9,434
45212000-6,434
71313000-5,434
72267000-4,429
45232420-2,426
45262800-9,425
41110000-3,422
45233140,420
66515000-3,418
45443000-4,418
45111100,410
45211340,409
71222000-0,409
71410000-5,404
45112000-5,402
45232130-2,398
45214200,397
66512000-2,391
45214210-5,388
50700000-2,387
45453100,387
33100000-1,386
71400000-2,379
15896000-5,375
45421141-4,374
71336000-2,370
31682000-0,365
45331000,363
09123000-7,361
33696500-0,361
45431000-7,359
45261420,355
34993000-4,352
55523100-3,352
45262800,351
71317210-8,344
50324200-4,342
79810000-5,340
79713000-5,340
71356200-0,335
45112710,334
45113000,333
45261210,333
71210000-3,330
45421150-0,329
45262660,323
71335000,323
30192000-1,320
45432111-5,320
34928480-6,319
45262650-2,318
44211100-3,315
60140000-1,315
50000000-5,306
32323500-8,300
45113000-2,300
09134200-9,299
45430000-0,297
85312110-3,294
71310000,293
22113000-5,293
66515200-5,292
34100000,292
71356100-9,290
33140000-3,290
45410000,289
71332000-4,287
55520000-1,287
79314000-8,286
71317210,285
45300000-0,285
45211350-7,285
45320000-6,283
45321000,283
75310000-2,280
71631300-3,279
90910000,279
45232150,279
44220000-8,278
60000000-8,278
45112700,278
79100000-5,275
90511000-2,275
45212212-5,274
45262690-4,274
34928400-2,273
45233200-1,273
66516000-0,273
45211100,273
45231110-9,272
45233162-2,270
45421152-4,269
45233252-0,268
45262522,267
50720000-8,266
45232141-2,265
50413200-5,264
90480000-5,264
45443000,262
45112720-8,261
45212221-1,261
45233141,260
44316500,260
79952000-2,260
30230000-0,259
79800000-2,258
30121100-4,257
45300000,255
45233000-9,255
33140000,255
50750000-7,253
00000000-0,252
45310000,246
45260000-7,246
72500000-0,246
44162500-8,246
90620000-9,246
